,0
Chi4n,2.3391858766613964
PEOE_VSA6,1.9915397729573323
Chi3n,1.551095286369251
PEOE_VSA8,1.3681415998123643
VSA_EState2,1.1320103144832965
VSA_EState4,0.9533883863425742
BalabanJ,0.8954360293549235
EState_VSA5,0.8632164308839398
qed,0.7198330507466706
EState_VSA1,0.7057821149282314
MaxEStateIndex,0.6682662990517961
MaxPartialCharge,0.6308233336287766
SMR_VSA6,0.5951097558942973
MinEStateIndex,0.5927500855076389
EState_VSA2,0.42414859806224775
PEOE_VSA11,0.360642491801325
SlogP_VSA8,0.2677591682064673
EState_VSA4,0.24823403950626294
MinPartialCharge,0.17863498912705678
MinAbsEStateIndex,0.15492245524612624
MaxAbsEStateIndex,0.15488943548336476
SMR_VSA4,0.1523973418290028
VSA_EState5,0.1321831377087366
fr_quatN,0.09814418595246416
PEOE_VSA9,0.09696862945049654
PEOE_VSA12,0.07260242756365251
FpDensityMorgan3,0.06731407246423272
EState_VSA6,0.03937240259607554
FpDensityMorgan1,0.03814434633767467
SMR_VSA9,0.032309636033876946
fr_Ar_OH,0.015501322914541286
fr_amide,0.00442357262223219
NumAromaticHeterocycles,0.0032753727430161086
MinAbsPartialCharge,0.0004837268287537085
fr_Nhpyrrole,1.2766250630762554e-05
